Order_ID,Date,Product,Category,City,Quantity,Price
1,2026-03-21,Backpack,Fashion,Delhi,4,2000
2,2026-04-09,Keyboard,Accessories,Delhi,1,1500
3,2026-01-03,Keyboard,Accessories,Pune,2,1500
4,2026-04-20,Backpack,Fashion,Mumbai,5,2000
5,2026-01-07,Mobile,Electronics,Pune,3,25000
6,2026-04-03,Mobile,Electronics,Mumbai,4,25000
7,2026-03-02,Backpack,Fashion,Chennai,4,2000
8,2026-01-07,Shoes,Fashion,Pune,2,3500
9,2026-04-06,Mobile,Electronics,Bangalore,5,25000
10,2026-01-14,Mouse,Accessories,Delhi,4,800
11,2026-02-07,T-Shirt,Fashion,Chennai,4,1000
12,2026-05-22,T-Shirt,Fashion,Delhi,4,1000
13,2026-04-29,Headphones,Electronics,Delhi,5,3000
14,2026-06-01,Keyboard,Accessories,Chennai,1,1500
15,2026-05-19,Backpack,Fashion,Hyderabad,1,2000
16,2026-01-28,Mouse,Accessories,Chennai,3,800
17,2026-05-12,Shoes,Fashion,Pune,2,3500
18,2026-03-28,T-Shirt,Fashion,Hyderabad,5,1000
19,2026-06-24,Watch,Fashion,Hyderabad,5,5000
20,2026-03-15,Mouse,Accessories,Pune,1,800
21,2026-02-22,Laptop,Electronics,Bangalore,2,55000
22,2026-06-21,Laptop,Electronics,Hyderabad,4,55000
23,2026-05-08,Backpack,Fashion,Pune,5,2000
24,2026-05-16,Watch,Fashion,Bangalore,4,5000
25,2026-04-06,Watch,Fashion,Hyderabad,1,5000
26,2026-04-29,Keyboard,Accessories,Bangalore,5,1500
27,2026-06-26,Headphones,Electronics,Bangalore,3,3000
28,2026-03-28,Keyboard,Accessories,Hyderabad,3,1500
29,2026-04-22,Shoes,Fashion,Delhi,2,3500
30,2026-02-02,T-Shirt,Fashion,Hyderabad,4,1000
31,2026-06-08,T-Shirt,Fashion,Bangalore,5,1000
32,2026-01-13,Headphones,Electronics,Pune,4,3000
33,2026-02-21,Backpack,Fashion,Pune,1,2000
34,2026-04-01,Watch,Fashion,Pune,1,5000
35,2026-03-29,Laptop,Electronics,Mumbai,2,55000
36,2026-01-27,Mouse,Accessories,Delhi,4,800
37,2026-04-06,Backpack,Fashion,Pune,3,2000
38,2026-04-13,Watch,Fashion,Delhi,2,5000
39,2026-06-10,Headphones,Electronics,Hyderabad,4,3000
40,2026-05-04,T-Shirt,Fashion,Mumbai,1,1000
41,2026-06-27,Shoes,Fashion,Delhi,3,3500
42,2026-04-14,Headphones,Electronics,Delhi,5,3000
43,2026-01-20,Mouse,Accessories,Hyderabad,5,800
